name,type,business_size,state,target_audience,foot_traffic,affordability,competitors,budget
Station Market by Kaduna Junction,traditional,small,Kaduna,low,high,high,moderate,400000
Force Road by Independence Way,intercontinental,medium,Kaduna,high,high,moderate,high,2500000
Ahmadu Bello Way by Jos Road,traditional,small,Kaduna,high,moderate,high,moderate,15000000
Ahmadu Bello Way by Alkali Road,intercontinental,medium,Kaduna,high,moderate,high,high,6000000
Kano Road by Ahmadu Bello Way,traditional,small,Kaduna,medium,moderate,moderate,medium,5500000
Ribadu Road by Tafawa Balewa Way,intercontinental,medium,Kaduna,medium,moderate,moderate,medium,7500000
Off Degel Road by Ungwan Rimi,traditional,small,Kaduna,medium,low,moderate,low,12500000
Abdulkadir Road by Ungwan Rimi,intercontinental,medium,Kaduna,medium,low,moderate,medium,5000000
Ahmadu Bello Way by Isah Kaita,traditional,small,Kaduna,high,high,low,high,7000000
Sultan Road by Nasarawa,intercontinental,medium,Kaduna,high,high,low,moderate,15000000
Constitution Road by Independence Way,traditional,small,Kaduna,high,moderate,low,moderate,1250000
Ahmadu Bello Way by Jos Road,intercontinental,medium,Kaduna,high,moderate,low,moderate,700000
Gombe Road by Ahmadu Bello Way,traditional,small,Kaduna,medium,moderate,moderate,low,2000000
Ungwan Rimi by Ramat Road,intercontinental,medium,Kaduna,medium,moderate,moderate,medium,2000000
Ahmadu Bello Way by Kakuri,traditional,small,Kaduna,medium,low,moderate,medium,2000000
Murtala Muhammed Square by Ahmadu Bello Way,intercontinental,medium,Kaduna,medium,low,moderate,low,5000000
Ahmadu Bello Way by Leventis,traditional,small,Kaduna,low,low,moderate,low,4500000
Aliyu Makama Road by Kaduna Junction,intercontinental,medium,Kaduna,low,low,moderate,moderate,6000000
Central Market by Ahmadu Bello Way,traditional,small,Kaduna,low,low,moderate,high,650000
Ahmadu Bello Way by Ungwar Sarki,intercontinental,medium,Kaduna,low,moderate,moderate,medium,250000
Murtala Square Stadium by Race Course Road,traditional,small,Kaduna,high,high,moderate,high,7000000
City Centre by Sokoto Road,intercontinental,medium,Kaduna,high,high,moderate,high,4000000
Ahmadu Bello Way by Taiwo Road,traditional,small,Kaduna,medium,moderate,moderate,medium,1750000
Rigachikun Road by Independence Way,intercontinental,medium,Kaduna,medium,moderate,moderate,medium,3500000
Kanta Road by Ahmadu Bello Way,traditional,small,Kaduna,low,low,moderate,low,1500000
Bida Road by Sabon Gari,intercontinental,medium,Kaduna,low,moderate,low,medium,1250000
Leventis by Ahmadu Bello Way,traditional,small,Kaduna,low,moderate,low,high,1300000
Ahmadu Bello Way by Kano Road,intercontinental,medium,Kaduna,low,low,low,high,1800000
Independence Way by Bida Road,traditional,small,Kaduna,high,high,high,high,1600000
Lagos Street by Ahmadu Bello Way,intercontinental,medium,Kaduna,high,moderate,high,high,3700000
Surami Road by Ungwan Rimi GRA,traditional,small,Kaduna,high,moderate,high,high,1700000
Waff Road off Independence Way,intercontinental,medium,Kaduna,high,moderate,high,moderate,1500000
Ahmadu Bello Way by Lagos Street,traditional,small,Kaduna,medium,low,moderate,medium,4500000
Mangal Plaza by Ahmadu Bello Way,intercontinental,medium,Kaduna,medium,low,moderate,medium,6000000
New Millennium City by Ungwan Rimi,traditional,small,Kaduna,medium,low,moderate,high,10000000
Ibadan Street by Ahmadu Bello Way,intercontinental,medium,Kaduna,medium,low,moderate,medium,1400000
